utla_code,utla_name,total_population,area_km2,population_density_per_km2,ev_registrations,evs_per_1000_people,pr_evs_per_1000,pr_density,pilot_score_equal,pilot_score_density_weighted,quadrant
E06000016,LEICESTER,388348,73.3399,5295.2,1579,4.07,0.0,0.84,0.42,0.504,"Lower EV, high density (emerging hotspots)"
E09000012,HACKNEY,266758,19.044,14007.5,1155,4.33,0.00666666666666667,0.986666666666667,0.4967,0.5947,"Lower EV, high density (emerging hotspots)"
E09000030,TOWER HAMLETS,331886,19.771,16786.5,1487,4.48,0.0133333333333333,1.0,0.5067,0.6053,"Lower EV, high density (emerging hotspots)"
E09000025,NEWHAM,374523,36.1958,10347.1,1720,4.59,0.02,0.953333333333333,0.4867,0.58,"Lower EV, high density (emerging hotspots)"
E08000003,MANCHESTER,589670,115.6533,5098.6,2716,4.61,0.0266666666666667,0.813333333333333,0.42,0.4987,"Lower EV, high density (emerging hotspots)"
E08000028,SANDWELL,353860,85.5673,4135.5,1655,4.68,0.0333333333333333,0.733333333333333,0.3833,0.4533,"Lower EV, lower density"
E06000044,PORTSMOUTH,214321,40.3867,5306.7,1076,5.02,0.04,0.846666666666667,0.4433,0.524,"Lower EV, high density (emerging hotspots)"
E06000010,"KINGSTON UPON HULL, CITY OF",275401,71.5789,3847.5,1415,5.14,0.0466666666666667,0.706666666666667,0.3767,0.4427,"Lower EV, lower density"
E08000025,BIRMINGHAM,1183618,267.7782,4420.1,6149,5.2,0.0533333333333333,0.746666666666667,0.4,0.4693,"Lower EV, lower density"
E06000018,NOTTINGHAM,331077,74.6251,4436.5,1738,5.25,0.06,0.753333333333333,0.4067,0.476,"Lower EV, high density (emerging hotspots)"
E08000012,LIVERPOOL,508961,111.842,4550.7,2771,5.44,0.0666666666666667,0.78,0.4233,0.4947,"Lower EV, high density (emerging hotspots)"
E06000002,MIDDLESBROUGH,156161,53.8815,2898.2,870,5.57,0.0733333333333333,0.653333333333333,0.3633,0.4213,"Lower EV, lower density"
E06000009,BLACKPOOL,144191,34.871,4135.0,812,5.63,0.08,0.726666666666667,0.4033,0.468,"Lower EV, lower density"
E06000045,SOUTHAMPTON,259424,49.8807,5200.9,1466,5.65,0.0866666666666667,0.826666666666667,0.4567,0.5307,"Lower EV, high density (emerging hotspots)"
E06000026,PLYMOUTH,272067,79.8455,3407.4,1579,5.8,0.0933333333333333,0.673333333333333,0.3833,0.4413,"Lower EV, lower density"
E09000001,CITY OF LONDON,15111,2.8899,5228.9,88,5.82,0.1,0.833333333333333,0.4667,0.54,"Lower EV, high density (emerging hotspots)"
E08000026,COVENTRY,369026,98.648,3740.8,2211,5.99,0.106666666666667,0.7,0.4033,0.4627,"Lower EV, lower density"
E08000031,WOLVERHAMPTON,281251,69.4393,4050.3,1685,5.99,0.106666666666667,0.713333333333333,0.41,0.4707,"Lower EV, lower density"
E09000019,ISLINGTON,223024,14.8579,15010.5,1374,6.16,0.12,0.993333333333333,0.5567,0.644,"Lower EV, high density (emerging hotspots)"
E09000022,LAMBETH,316920,26.8071,11822.2,1959,6.18,0.126666666666667,0.973333333333333,0.55,0.6347,"Lower EV, high density (emerging hotspots)"
E09000031,WALTHAM FOREST,279737,38.8102,7207.8,1740,6.22,0.133333333333333,0.906666666666667,0.52,0.5973,"Lower EV, high density (emerging hotspots)"
E09000023,LEWISHAM,301255,35.146,8571.5,1911,6.34,0.14,0.92,0.53,0.608,"Lower EV, high density (emerging hotspots)"
E08000004,OLDHAM,251560,142.345,1767.3,1616,6.42,0.146666666666667,0.513333333333333,0.33,0.3667,"Lower EV, lower density"
E09000028,SOUTHWARK,314786,28.8776,10900.7,2041,6.48,0.153333333333333,0.96,0.5567,0.6373,"Lower EV, high density (emerging hotspots)"
E08000030,WALSALL,295678,103.9978,2843.1,1942,6.57,0.16,0.633333333333333,0.3967,0.444,"Lower EV, lower density"
E08000006,SALFORD,294348,97.1974,3028.4,1940,6.59,0.166666666666667,0.66,0.4133,0.4627,"Lower EV, lower density"
E06000032,LUTON,239090,43.3526,5515.0,1578,6.6,0.173333333333333,0.866666666666667,0.52,0.5893,"Lower EV, high density (emerging hotspots)"
E06000021,STOKE-ON-TRENT,270425,93.4361,2894.2,1814,6.71,0.18,0.646666666666667,0.4133,0.46,"Lower EV, lower density"
E06000023,"BRISTOL, CITY OF",494399,109.6615,4508.4,3390,6.86,0.186666666666667,0.766666666666667,0.4767,0.5347,"Lower EV, high density (emerging hotspots)"
E06000001,HARTLEPOOL,98180,93.7146,1047.6,695,7.08,0.193333333333333,0.406666666666667,0.3,0.3213,"Lower EV, lower density"
E09000002,BARKING AND DAGENHAM,232747,36.1012,6447.1,1652,7.1,0.2,0.893333333333333,0.5467,0.616,"Lower EV, high density (emerging hotspots)"
E06000003,REDCAR AND CLEVELAND,139228,245.0785,568.1,1000,7.18,0.206666666666667,0.293333333333333,0.25,0.2587,"Lower EV, lower density"
E06000012,NORTH EAST LINCOLNSHIRE,159911,192.6232,830.2,1148,7.18,0.206666666666667,0.373333333333333,0.29,0.3067,"Lower EV, lower density"
E08000008,TAMESIDE,239643,103.1522,2323.2,1722,7.19,0.22,0.586666666666667,0.4033,0.44,"Lower EV, lower density"
E09000011,GREENWICH,299528,47.3114,6331.0,2170,7.24,0.226666666666667,0.886666666666667,0.5567,0.6227,"Lower EV, high density (emerging hotspots)"
E06000008,BLACKBURN WITH DARWEN,162540,137.0175,1186.3,1189,7.32,0.233333333333333,0.44,0.3367,0.3573,"Lower EV, lower density"
E06000033,SOUTHEND-ON-SEA,185256,41.6737,4445.4,1356,7.32,0.233333333333333,0.76,0.4967,0.5493,"Lower EV, high density (emerging hotspots)"
E06000027,TORBAY,140126,62.885,2228.3,1033,7.37,0.246666666666667,0.566666666666667,0.4067,0.4387,"Lower EV, lower density"
E09000014,HARINGEY,263850,29.6063,8912.0,1944,7.37,0.246666666666667,0.926666666666667,0.5867,0.6547,"Lower EV, high density (emerging hotspots)"
E08000021,NEWCASTLE UPON TYNE,320605,113.4504,2825.9,2377,7.41,0.26,0.626666666666667,0.4433,0.48,"Lower EV, lower density"
E08000032,BRADFORD,563605,366.3875,1538.3,4348,7.71,0.266666666666667,0.5,0.3833,0.4067,"Lower EV, lower density"
